Net,PSNR,Params,Generation
"[0, 7, 5, 6, 5, 1, 4, 3, 0, 6, 7, 5, 0, 2, 4, 3, 7, 1, 3, 7, 2, 5, 5, 4, 2, 6, 4, 7]",32.11118,14160.0,1
"[1, 7, 5, 4, 7, 1, 5, 7, 2, 1, 4, 7, 6, 3, 5, 5, 4, 1, 2, 6, 2, 4, 6, 1, 0, 7, 3, 6]",31.519733,69920.0,1
"[0, 4, 5, 6, 0, 4, 7, 7, 6, 2, 3, 2, 2, 4, 2, 0, 4, 4, 4, 0, 6, 5, 1, 5, 0, 1, 5, 1]",30.910052,44688.0,1
"[3, 1, 1, 1, 0, 6, 2, 7, 0, 3, 5, 1, 5, 4, 1, 7, 3, 0, 3, 6, 0, 7, 7, 4, 2, 0, 6, 1]",30.884937,814240.0,1
"[1, 3, 6, 5, 7, 4, 2, 0, 3, 1, 5, 2, 7, 1, 0, 2, 1, 4, 3, 6, 6, 2, 3, 0, 1, 2, 4, 2]",31.349636,465728.0,1
"[0, 4, 0, 6, 2, 6, 5, 7, 0, 0, 1, 4, 5, 5, 7, 1, 4, 2, 5, 7, 7, 7, 4, 4, 0, 1, 4, 3]",31.011299,73824.0,1
"[6, 5, 1, 0, 0, 5, 6, 7, 1, 6, 7, 5, 6, 6, 5, 3, 7, 3, 1, 0, 5, 0, 1, 3, 0, 3, 2, 0]",30.93565,390672.0,1
"[6, 3, 5, 2, 2, 7, 4, 1, 3, 1, 4, 1, 2, 6, 5, 5, 3, 6, 0, 6, 1, 0, 2, 3, 1, 1, 4, 5]",31.379746,766896.0,1
"[2, 3, 0, 3, 1, 6, 0, 7, 4, 2, 0, 4, 6, 5, 5, 0, 4, 6, 4, 6, 4, 1, 6, 6, 4, 2, 6, 3]",30.63729,424464.0,1
"[0, 2, 4, 7, 7, 6, 1, 3, 4, 1, 2, 6, 3, 2, 5, 3, 4, 6, 3, 5, 0, 4, 6, 1, 0, 4, 1, 4]",29.969493,45488.0,1
"[4, 4, 3, 7, 4, 7, 5, 7, 1, 2, 6, 0, 3, 5, 2, 1, 7, 0, 0, 7, 3, 6, 3, 0, 4, 1, 5, 3]",31.208943,47728.0,1
"[2, 4, 0, 3, 1, 5, 5, 6, 1, 6, 2, 3, 5, 7, 0, 5, 0, 7, 2, 6, 1, 0, 7, 1, 6, 6, 7, 6]",31.52661,1044672.0,1
"[3, 1, 1, 1, 0, 6, 2, 7, 0, 3, 5, 1, 4, 1, 2, 2, 3, 0, 3, 6, 0, 7, 7, 4, 2, 0, 6, 1]",30.84852,1019040.0,1
"[4, 6, 1, 1, 1, 0, 4, 6, 6, 1, 7, 4, 0, 1, 6, 1, 4, 0, 0, 0, 2, 3, 1, 6, 7, 7, 3, 4]",30.731539,84480.0,1
"[1, 0, 5, 1, 6, 5, 3, 4, 0, 3, 3, 0, 4, 7, 2, 1, 7, 7, 0, 7, 3, 7, 0, 0, 4, 1, 5, 3]",31.605042,103520.0,1
"[0, 1, 7, 7, 1, 4, 3, 2, 5, 4, 1, 1, 1, 0, 1, 1, 6, 4, 2, 7, 1, 3, 6, 1, 0, 2, 6, 1]",30.363051,81168.0,1
"[1, 0, 5, 1, 6, 5, 4, 4, 0, 3, 3, 0, 5, 7, 2, 1, 7, 0, 0, 7, 3, 7, 0, 0, 4, 1, 5, 3]",31.690259,76832.0,1
"[1, 6, 6, 7, 4, 4, 4, 0, 4, 5, 1, 7, 3, 4, 1, 3, 7, 5, 1, 6, 6, 6, 2, 4, 3, 0, 2, 0]",31.736936,423296.0,1
"[3, 3, 5, 7, 2, 0, 3, 1, 6, 0, 2, 2, 1, 0, 7, 5, 7, 7, 0, 2, 1, 1, 3, 0, 2, 7, 0, 6]",31.28129,968416.0,1
"[2, 2, 0, 3, 0, 1, 2, 7, 0, 5, 1, 2, 3, 5, 2, 1, 2, 4, 2, 3, 4, 0, 2, 1, 1, 7, 4, 6]",31.066791,604848.0,1
"[0, 7, 4, 2, 7, 4, 0, 2, 2, 7, 7, 0, 6, 0, 2, 7, 4, 3, 5, 3, 2, 2, 7, 0, 2, 7, 3, 0]",30.991161,74992.0,1
"[4, 2, 7, 1, 1, 2, 6, 7, 6, 1, 4, 0, 0, 4, 7, 6, 0, 0, 2, 3, 5, 4, 3, 3, 0, 7, 3, 1]",30.771631,65856.0,1
"[0, 2, 4, 7, 7, 6, 1, 3, 6, 7, 2, 0, 6, 5, 2, 0, 5, 0, 3, 6, 5, 6, 4, 2, 4, 6, 1, 4]",30.890795,58544.0,1
"[2, 6, 2, 4, 0, 2, 3, 5, 5, 7, 5, 2, 0, 5, 5, 2, 2, 0, 0, 1, 6, 3, 3, 0, 6, 0, 2, 6]",30.677614,1160544.0,1
"[0, 6, 1, 1, 3, 3, 7, 6, 4, 0, 3, 2, 3, 1, 0, 5, 4, 7, 4, 2, 1, 3, 7, 3, 1, 6, 7, 6]",30.665842,131664.0,1
"[5, 6, 5, 7, 6, 3, 4, 0, 3, 0, 0, 3, 2, 5, 5, 1, 1, 5, 4, 0, 6, 6, 3, 5, 1, 5, 4, 2]",31.076536,452512.0,1
"[2, 6, 1, 1, 1, 0, 4, 6, 6, 1, 7, 4, 0, 1, 6, 1, 4, 0, 0, 0, 2, 3, 1, 6, 7, 7, 2, 6]",30.775843,744768.0,1
"[5, 6, 3, 0, 4, 5, 6, 7, 6, 1, 4, 0, 0, 4, 7, 6, 0, 0, 2, 3, 5, 4, 3, 3, 0, 7, 0, 6]",30.948513,130496.0,1
"[4, 6, 4, 4, 4, 1, 2, 1, 1, 5, 0, 7, 0, 3, 6, 3, 2, 5, 6, 2, 5, 6, 0, 4, 5, 2, 7, 2]",30.032331,98848.0,1
"[0, 4, 3, 4, 6, 7, 4, 4, 1, 5, 6, 3, 1, 6, 6, 7, 3, 5, 2, 3, 0, 2, 7, 4, 0, 2, 2, 2]",30.285532,94576.0,1
"[0, 3, 0, 3, 0, 5, 1, 7, 2, 5, 4, 2, 2, 7, 7, 0, 2, 3, 6, 1, 1, 4, 2, 2, 6, 7, 1, 5]",29.964767,69312.0,1
"[4, 5, 4, 6, 4, 7, 4, 7, 1, 6, 5, 1, 6, 5, 4, 7, 1, 1, 5, 3, 6, 6, 0, 5, 6, 3, 5, 5]",29.203622,63248.0,1
"[0, 0, 6, 7, 5, 4, 1, 6, 7, 5, 1, 3, 0, 7, 5, 4, 7, 5, 3, 1, 5, 3, 0, 6, 2, 0, 0, 6]",30.518015,97232.0,1
"[3, 6, 4, 3, 6, 6, 0, 2, 2, 5, 0, 2, 7, 0, 2, 0, 1, 6, 1, 4, 7, 5, 5, 0, 4, 3, 2, 4]",31.538088,1184096.0,1
"[1, 1, 0, 6, 7, 2, 0, 5, 5, 4, 2, 7, 5, 4, 5, 6, 6, 7, 7, 7, 0, 3, 4, 6, 1, 2, 2, 4]",30.797852,363616.0,1
"[5, 2, 7, 2, 7, 2, 6, 7, 6, 4, 7, 4, 7, 2, 4, 7, 0, 6, 5, 7, 1, 5, 6, 4, 3, 0, 6, 3]",30.929875,317312.0,1
"[5, 4, 6, 4, 5, 2, 5, 6, 6, 2, 0, 7, 1, 7, 1, 0, 4, 0, 2, 6, 4, 2, 0, 0, 4, 1, 2, 5]",31.577257,352512.0,1
"[2, 3, 1, 0, 4, 5, 0, 2, 7, 0, 0, 5, 1, 2, 1, 7, 4, 1, 6, 0, 3, 7, 1, 7, 1, 7, 0, 6]",30.184739,954048.0,1
"[0, 7, 7, 1, 5, 7, 5, 0, 4, 4, 7, 7, 0, 5, 4, 4, 5, 5, 4, 0, 7, 3, 1, 1, 2, 6, 3, 0]",30.19691,133424.0,1
"[0, 3, 0, 3, 0, 5, 1, 7, 2, 5, 4, 2, 6, 3, 0, 1, 5, 3, 6, 1, 1, 4, 2, 2, 6, 7, 1, 5]",30.575248,113920.0,1
"[0, 2, 4, 7, 7, 6, 1, 3, 4, 1, 2, 6, 3, 2, 2, 7, 5, 5, 0, 0, 0, 7, 3, 2, 4, 6, 1, 4]",29.526358,70544.0,1
"[4, 3, 6, 7, 2, 4, 3, 6, 6, 3, 7, 2, 3, 3, 5, 3, 4, 6, 3, 5, 0, 4, 6, 1, 0, 4, 5, 4]",30.326388,70608.0,1
"[4, 1, 2, 1, 2, 5, 5, 2, 2, 6, 7, 5, 3, 4, 6, 1, 5, 1, 2, 1, 2, 5, 2, 0, 2, 1, 3, 0]",30.121953,83040.0,1
"[4, 1, 4, 2, 1, 1, 6, 3, 6, 3, 2, 3, 0, 2, 4, 2, 3, 4, 6, 3, 5, 2, 5, 7, 5, 0, 0, 6]",30.535568,112176.0,1
"[3, 4, 2, 1, 1, 7, 4, 0, 6, 4, 6, 1, 4, 5, 3, 5, 2, 2, 0, 7, 0, 3, 0, 2, 0, 4, 5, 2]",31.294769,1412320.0,1
"[2, 6, 2, 5, 1, 7, 4, 0, 6, 4, 2, 1, 4, 5, 3, 2, 2, 0, 0, 1, 6, 3, 3, 0, 6, 0, 2, 6]",31.269483,1432272.0,1
"[2, 5, 1, 6, 1, 5, 6, 6, 2, 0, 2, 6, 0, 1, 3, 0, 7, 6, 1, 4, 0, 2, 7, 4, 4, 0, 6, 3]",30.936051,676704.0,1
"[1, 4, 5, 7, 7, 6, 6, 0, 0, 5, 0, 3, 3, 7, 3, 4, 1, 6, 1, 3, 7, 0, 1, 0, 6, 2, 6, 6]",31.021612,394432.0,1
"[5, 4, 6, 4, 5, 2, 5, 6, 6, 2, 0, 7, 1, 7, 1, 0, 4, 0, 2, 5, 4, 2, 0, 0, 3, 1, 2, 5]",31.551835,365472.0,1
"[4, 3, 5, 7, 1, 2, 6, 0, 3, 1, 1, 1, 2, 1, 3, 3, 1, 2, 6, 2, 1, 1, 3, 0, 3, 7, 0, 6]",30.828648,138096.0,1
"[0, 7, 7, 1, 5, 7, 5, 0, 4, 4, 7, 7, 0, 5, 1, 1, 0, 0, 3, 0, 7, 3, 1, 1, 2, 6, 3, 0]",30.709261,138864.0,1
"[4, 0, 4, 2, 0, 3, 7, 7, 3, 2, 3, 5, 6, 0, 6, 5, 3, 4, 1, 6, 2, 3, 3, 6, 7, 0, 2, 7]",30.895274,150656.0,1
"[4, 1, 3, 5, 7, 0, 6, 5, 6, 2, 3, 4, 6, 3, 0, 1, 5, 1, 2, 1, 2, 5, 2, 0, 2, 1, 3, 0]",30.646804,114000.0,1
"[4, 2, 7, 1, 1, 2, 5, 6, 5, 5, 4, 4, 5, 4, 1, 1, 5, 5, 1, 0, 6, 6, 0, 0, 2, 5, 3, 1]",30.1794,131872.0,1
"[0, 6, 2, 6, 4, 4, 1, 5, 2, 4, 6, 4, 7, 6, 6, 2, 0, 7, 4, 7, 7, 2, 5, 5, 6, 3, 4, 3]",29.62155,86768.0,1
