Net,PSNR,Params,Generation
"[4, 7, 2, 7, 3, 5, 3, 5, 2, 1, 1, 2, 2, 7, 4, 2, 7, 0, 1, 2, 6, 6, 7, 1, 3, 0, 2, 2]",31.807763,97680.0,1
"[0, 6, 5, 2, 3, 5, 0, 2, 4, 4, 7, 4, 1, 4, 7, 4, 3, 5, 0, 6, 4, 7, 7, 7, 3, 2, 2, 7]",31.301382,41968.0,1
"[0, 4, 3, 1, 7, 5, 1, 7, 0, 4, 1, 1, 1, 2, 0, 1, 0, 4, 5, 4, 0, 4, 7, 4, 4, 5, 1, 7]",30.88454,32400.0,1
"[7, 7, 4, 2, 2, 1, 2, 7, 2, 3, 1, 0, 1, 4, 1, 3, 2, 0, 4, 3, 4, 3, 0, 0, 2, 0, 6, 1]",31.386041,385312.0,1
"[4, 6, 1, 6, 0, 7, 1, 1, 1, 3, 0, 1, 1, 5, 1, 0, 1, 0, 2, 3, 1, 0, 4, 5, 1, 1, 7, 7]",30.791083,108000.0,1
"[4, 7, 6, 6, 4, 3, 4, 4, 1, 5, 1, 7, 0, 2, 2, 1, 1, 7, 1, 0, 2, 6, 4, 1, 7, 2, 5, 4]",31.31628,78016.0,1
"[4, 4, 1, 3, 1, 5, 3, 7, 7, 2, 6, 1, 2, 2, 1, 6, 0, 0, 7, 3, 0, 3, 2, 3, 2, 1, 5, 2]",30.800523,74016.0,1
"[4, 7, 6, 6, 4, 3, 4, 4, 1, 5, 1, 5, 2, 2, 1, 3, 3, 4, 5, 7, 2, 3, 0, 1, 7, 2, 5, 4]",30.487848,32592.0,1
"[3, 0, 0, 7, 4, 4, 0, 7, 6, 4, 1, 2, 0, 4, 3, 0, 2, 6, 0, 2, 2, 3, 4, 1, 0, 7, 1, 0]",30.794046,656672.0,1
"[5, 3, 0, 0, 7, 0, 1, 6, 2, 7, 1, 3, 2, 6, 5, 2, 6, 0, 7, 2, 3, 2, 1, 5, 1, 2, 5, 4]",30.821277,468992.0,1
"[6, 6, 7, 2, 6, 0, 2, 6, 0, 4, 5, 6, 2, 7, 7, 2, 2, 5, 5, 6, 3, 4, 6, 0, 3, 0, 5, 5]",31.075327,927696.0,1
"[1, 0, 6, 1, 4, 2, 0, 4, 2, 2, 3, 5, 6, 0, 3, 4, 6, 3, 0, 7, 6, 7, 4, 0, 6, 4, 6, 4]",30.998419,196672.0,1
"[6, 2, 2, 1, 6, 4, 4, 7, 2, 2, 2, 1, 3, 4, 0, 3, 0, 6, 4, 3, 4, 0, 1, 1, 1, 0, 6, 5]",31.046901,434064.0,1
"[0, 1, 4, 2, 2, 1, 2, 7, 1, 1, 5, 0, 2, 0, 1, 1, 6, 6, 1, 0, 1, 3, 6, 1, 1, 6, 7, 2]",30.70326,82528.0,1
"[5, 0, 6, 4, 2, 0, 0, 5, 6, 4, 2, 5, 0, 5, 1, 5, 3, 2, 1, 1, 0, 1, 7, 2, 4, 3, 0, 1]",30.39831,193312.0,1
"[0, 2, 1, 5, 7, 3, 1, 4, 2, 7, 5, 6, 0, 7, 7, 5, 5, 0, 4, 3, 2, 4, 1, 0, 4, 1, 3, 0]",30.520076,44240.0,1
"[2, 6, 0, 0, 1, 5, 0, 6, 3, 1, 3, 5, 3, 4, 2, 4, 3, 1, 6, 6, 2, 5, 7, 3, 6, 4, 1, 7]",30.995343,531360.0,1
"[3, 2, 7, 0, 1, 1, 0, 1, 1, 6, 0, 3, 1, 6, 0, 0, 7, 3, 1, 2, 1, 3, 1, 0, 0, 4, 0, 6]",31.298034,927712.0,1
"[5, 0, 0, 1, 3, 6, 5, 5, 5, 7, 1, 1, 5, 7, 0, 5, 6, 2, 5, 5, 1, 5, 0, 0, 2, 4, 7, 7]",30.827933,268672.0,1
"[5, 3, 0, 0, 4, 0, 3, 7, 6, 2, 1, 0, 4, 7, 1, 0, 3, 6, 1, 3, 6, 4, 3, 2, 6, 4, 6, 0]",30.82911,166720.0,1
"[4, 7, 6, 6, 4, 3, 4, 4, 1, 5, 1, 5, 3, 2, 1, 3, 0, 6, 4, 3, 3, 7, 4, 1, 7, 2, 5, 4]",30.529122,83472.0,1
"[0, 1, 6, 0, 7, 6, 3, 6, 3, 1, 3, 7, 0, 2, 2, 1, 0, 7, 1, 1, 0, 6, 7, 0, 6, 2, 7, 0]",30.49747,97696.0,1
"[4, 7, 6, 6, 4, 3, 4, 4, 1, 5, 1, 5, 3, 2, 1, 3, 0, 0, 3, 2, 3, 7, 4, 1, 7, 2, 5, 4]",30.085993,78144.0,1
"[4, 5, 4, 7, 4, 6, 0, 7, 1, 6, 1, 6, 1, 0, 7, 1, 1, 2, 5, 2, 0, 4, 1, 2, 4, 4, 3, 6]",29.842864,68192.0,1
"[7, 0, 4, 4, 5, 0, 2, 6, 0, 0, 1, 5, 4, 3, 3, 4, 3, 2, 4, 6, 0, 6, 6, 2, 5, 2, 1, 4]",30.885041,662112.0,1
"[7, 7, 2, 3, 5, 1, 0, 6, 1, 2, 3, 6, 1, 6, 7, 0, 6, 3, 6, 2, 4, 5, 2, 5, 7, 0, 2, 3]",30.724569,1776864.0,1
"[7, 4, 1, 3, 1, 5, 3, 7, 7, 2, 6, 1, 2, 2, 1, 6, 7, 0, 4, 6, 6, 1, 6, 3, 2, 1, 5, 2]",30.646273,1315296.0,1
"[5, 0, 0, 1, 3, 6, 5, 5, 5, 7, 1, 0, 2, 2, 1, 5, 6, 2, 5, 5, 1, 5, 0, 0, 2, 4, 7, 7]",30.323715,271840.0,1
"[5, 0, 0, 5, 1, 2, 0, 5, 6, 3, 2, 6, 0, 5, 1, 5, 3, 2, 1, 1, 0, 1, 7, 2, 4, 3, 0, 1]",30.718521,375776.0,1
