Net,PSNR,Params,Generation
"[0, 2, 2, 5, 7, 2, 6, 0, 4, 5, 5, 0, 4, 7, 1, 2, 2, 4, 5, 4, 6, 6, 0, 5, 0, 4, 5, 0]",30.713965,22144.0,1
"[1, 6, 1, 7, 4, 5, 4, 3, 2, 3, 6, 4, 4, 0, 6, 2, 2, 2, 5, 7, 5, 4, 6, 2, 1, 7, 0, 4]",31.164309,325824.0,1
"[6, 6, 2, 4, 6, 2, 2, 3, 2, 4, 0, 2, 1, 0, 7, 1, 2, 4, 0, 4, 3, 0, 7, 4, 0, 0, 1, 7]",31.666069,726288.0,1
"[0, 6, 0, 6, 6, 4, 0, 6, 4, 3, 3, 0, 5, 4, 0, 7, 7, 1, 4, 7, 1, 6, 2, 3, 3, 3, 4, 6]",31.365264,57264.0,1
"[0, 2, 0, 2, 1, 0, 1, 6, 4, 5, 2, 3, 5, 0, 5, 2, 6, 1, 6, 2, 4, 6, 7, 6, 4, 2, 6, 0]",31.300921,50448.0,1
"[0, 1, 0, 0, 0, 6, 0, 3, 1, 0, 1, 5, 0, 3, 4, 6, 4, 0, 2, 2, 3, 4, 6, 4, 5, 2, 0, 6]",30.553412,29248.0,1
"[0, 2, 1, 4, 4, 7, 6, 7, 1, 4, 0, 0, 0, 1, 5, 3, 4, 4, 2, 7, 3, 6, 0, 3, 4, 4, 6, 5]",30.185434,32208.0,1
"[4, 3, 1, 6, 0, 2, 0, 0, 5, 7, 6, 1, 5, 0, 5, 6, 7, 2, 0, 7, 7, 2, 2, 7, 4, 7, 1, 7]",30.726891,49088.0,1
"[1, 4, 7, 2, 7, 0, 3, 6, 6, 3, 0, 5, 0, 2, 4, 4, 3, 1, 6, 6, 3, 5, 2, 3, 1, 2, 5, 6]",31.681399,381568.0,1
"[4, 7, 0, 3, 7, 5, 6, 6, 3, 2, 2, 1, 3, 0, 0, 2, 3, 4, 1, 3, 7, 6, 4, 6, 1, 7, 4, 5]",31.038551,89648.0,1
"[0, 6, 6, 1, 5, 5, 6, 2, 1, 0, 0, 2, 5, 3, 2, 5, 2, 5, 6, 4, 1, 4, 2, 7, 0, 6, 2, 0]",30.365362,85920.0,1
"[4, 6, 6, 6, 7, 7, 0, 7, 4, 3, 3, 1, 6, 5, 6, 0, 3, 5, 3, 4, 7, 7, 2, 0, 6, 6, 6, 0]",30.898825,63472.0,1
"[0, 2, 0, 2, 1, 0, 1, 5, 4, 6, 2, 3, 5, 0, 5, 2, 6, 1, 6, 2, 4, 6, 7, 1, 4, 2, 6, 0]",30.957147,53312.0,1
"[4, 7, 3, 1, 3, 1, 6, 0, 4, 5, 4, 3, 1, 4, 6, 7, 6, 2, 7, 6, 5, 1, 7, 5, 5, 7, 2, 7]",29.978292,44976.0,1
"[7, 6, 2, 2, 4, 0, 4, 2, 3, 4, 2, 5, 2, 6, 7, 4, 6, 5, 2, 5, 4, 5, 0, 0, 3, 1, 6, 5]",31.42584,1198816.0,1
"[7, 6, 6, 7, 7, 1, 7, 3, 3, 6, 1, 7, 2, 3, 3, 3, 4, 5, 1, 3, 3, 2, 7, 1, 7, 2, 4, 4]",31.482387,3042400.0,1
"[0, 6, 0, 7, 6, 3, 7, 6, 6, 1, 6, 5, 4, 2, 3, 5, 7, 6, 1, 2, 0, 0, 0, 3, 5, 0, 5, 7]",31.305889,128544.0,1
"[1, 1, 2, 4, 6, 2, 0, 6, 1, 5, 2, 2, 6, 6, 3, 3, 7, 0, 3, 0, 0, 2, 4, 3, 2, 0, 1, 0]",30.992332,372320.0,1
"[1, 2, 3, 7, 7, 4, 2, 7, 3, 5, 1, 3, 3, 7, 6, 4, 4, 6, 1, 2, 0, 7, 7, 1, 1, 4, 1, 5]",30.982385,416864.0,1
"[1, 7, 1, 6, 0, 5, 7, 6, 3, 7, 7, 2, 5, 2, 2, 2, 3, 3, 0, 5, 4, 5, 4, 6, 4, 3, 0, 6]",31.07969,383072.0,1
"[1, 3, 0, 0, 4, 4, 3, 3, 0, 1, 4, 1, 5, 3, 5, 1, 4, 0, 2, 4, 4, 1, 2, 3, 0, 4, 1, 4]",30.919525,90528.0,1
"[4, 7, 3, 0, 4, 5, 7, 6, 2, 5, 6, 0, 2, 2, 1, 7, 0, 5, 3, 0, 1, 7, 0, 3, 0, 6, 7, 1]",30.372626,83168.0,1
"[0, 5, 0, 5, 0, 3, 6, 3, 5, 4, 5, 1, 0, 0, 1, 3, 0, 0, 4, 0, 4, 6, 3, 1, 5, 3, 0, 6]",30.479075,65856.0,1
"[0, 0, 6, 0, 4, 6, 7, 6, 0, 0, 7, 1, 5, 5, 5, 7, 0, 1, 0, 3, 0, 7, 2, 7, 5, 4, 3, 2]",30.499186,65408.0,1
"[2, 6, 4, 7, 7, 5, 2, 3, 5, 0, 7, 0, 0, 3, 0, 0, 3, 7, 3, 2, 2, 2, 2, 3, 4, 5, 3, 5]",31.106416,1247520.0,1
"[5, 6, 0, 3, 5, 0, 3, 7, 0, 3, 6, 4, 7, 2, 2, 2, 0, 2, 7, 4, 6, 0, 7, 2, 0, 0, 1, 1]",31.542249,229984.0,1
"[6, 7, 6, 5, 1, 2, 4, 3, 4, 7, 5, 3, 5, 5, 4, 2, 0, 3, 1, 1, 2, 6, 0, 4, 7, 1, 0, 5]",31.304653,985968.0,1
