Net,PSNR,Params,Generation
"[5, 7, 3, 7, 2, 0, 5, 7, 0, 7, 0, 6, 3, 2, 0, 1, 0, 6, 7, 0, 1, 0, 1, 5, 7, 0, 1, 3]",31.399228,296960.0,1
"[4, 7, 1, 6, 5, 6, 6, 5, 7, 4, 7, 0, 7, 2, 5, 3, 7, 7, 0, 2, 6, 6, 5, 5, 5, 4, 5, 5]",30.378689,112464.0,1
"[4, 3, 0, 7, 1, 2, 2, 0, 4, 5, 7, 7, 7, 1, 1, 0, 4, 0, 4, 4, 5, 6, 2, 0, 7, 2, 5, 4]",31.122429,30480.0,1
"[4, 3, 6, 0, 7, 7, 7, 6, 5, 6, 2, 6, 0, 6, 3, 1, 4, 2, 1, 3, 3, 7, 0, 3, 2, 1, 4, 2]",31.474545,137296.0,1
"[1, 4, 1, 1, 0, 0, 0, 7, 6, 7, 7, 6, 0, 3, 4, 2, 4, 4, 7, 0, 1, 1, 4, 5, 4, 6, 5, 0]",30.740949,45024.0,1
"[4, 7, 2, 6, 4, 1, 3, 0, 2, 1, 4, 7, 3, 7, 1, 4, 2, 5, 5, 1, 3, 5, 6, 5, 0, 4, 4, 2]",30.923354,54112.0,1
"[5, 4, 7, 4, 0, 3, 5, 7, 4, 1, 3, 4, 2, 5, 7, 6, 2, 2, 0, 7, 6, 2, 3, 6, 0, 6, 5, 6]",31.159214,506784.0,1
"[0, 3, 0, 4, 7, 0, 0, 6, 3, 2, 3, 4, 2, 5, 7, 6, 2, 2, 0, 7, 6, 7, 1, 1, 2, 3, 5, 0]",31.334189,138480.0,1
"[0, 3, 0, 4, 6, 0, 7, 6, 3, 2, 3, 4, 2, 5, 7, 6, 2, 2, 0, 7, 1, 7, 1, 1, 2, 3, 5, 0]",31.287817,139568.0,1
"[4, 7, 2, 3, 1, 5, 3, 0, 2, 1, 4, 7, 3, 7, 1, 4, 2, 5, 5, 1, 3, 4, 6, 5, 0, 4, 3, 2]",30.446482,51408.0,1
"[4, 0, 4, 1, 6, 0, 2, 6, 2, 0, 3, 4, 3, 3, 3, 4, 2, 5, 5, 7, 1, 6, 6, 4, 5, 0, 3, 1]",31.062874,54000.0,1
"[1, 0, 0, 2, 4, 3, 5, 5, 0, 4, 2, 1, 6, 3, 1, 4, 5, 0, 7, 4, 6, 7, 7, 5, 2, 4, 2, 1]",30.778151,82848.0,1
"[0, 2, 2, 1, 4, 5, 0, 0, 2, 5, 3, 1, 3, 3, 1, 6, 7, 1, 2, 7, 3, 1, 0, 1, 7, 1, 0, 3]",30.492124,54976.0,1
"[1, 6, 4, 1, 0, 7, 2, 7, 3, 2, 0, 1, 5, 0, 6, 3, 1, 6, 1, 5, 6, 4, 1, 5, 1, 5, 3, 3]",31.511803,825760.0,1
"[0, 5, 7, 7, 2, 2, 1, 4, 5, 1, 4, 2, 5, 3, 4, 1, 3, 5, 2, 2, 2, 2, 2, 4, 6, 5, 1, 7]",30.567869,175856.0,1
"[5, 6, 4, 4, 2, 5, 6, 7, 1, 3, 3, 7, 2, 3, 6, 5, 7, 6, 5, 2, 4, 7, 2, 5, 0, 7, 3, 1]",31.313828,248608.0,1
"[0, 3, 5, 2, 3, 6, 2, 1, 0, 1, 0, 1, 7, 4, 3, 1, 2, 7, 2, 3, 1, 2, 4, 2, 4, 7, 2, 2]",30.477787,85776.0,1
"[5, 0, 4, 3, 6, 0, 1, 2, 4, 6, 2, 6, 0, 6, 4, 1, 7, 7, 4, 7, 6, 7, 5, 1, 1, 1, 5, 2]",31.20643,111872.0,1
"[4, 0, 1, 5, 0, 5, 2, 0, 5, 0, 6, 5, 1, 5, 6, 4, 7, 2, 6, 6, 7, 7, 7, 4, 7, 4, 4, 3]",30.521283,86480.0,1
"[5, 7, 4, 7, 7, 2, 1, 6, 4, 4, 4, 0, 1, 4, 0, 6, 0, 4, 6, 0, 2, 1, 7, 3, 4, 7, 4, 3]",30.616147,65536.0,1
"[4, 4, 3, 4, 0, 7, 2, 4, 2, 7, 7, 2, 2, 2, 5, 5, 3, 5, 6, 4, 2, 4, 6, 0, 1, 0, 5, 1]",28.991427,61248.0,1
"[4, 4, 3, 4, 0, 7, 2, 4, 2, 7, 7, 2, 2, 2, 5, 5, 4, 6, 6, 4, 2, 4, 6, 0, 1, 0, 5, 1]",28.66545,56352.0,1
"[6, 2, 3, 5, 1, 7, 2, 2, 4, 2, 2, 1, 3, 5, 0, 2, 1, 2, 0, 5, 5, 5, 3, 7, 3, 4, 3, 0]",31.464982,1298736.0,1
