Net,PSNR,Params,Generation
"[4, 1, 7, 5, 5, 2, 4, 1, 3, 7, 5, 1, 2, 7, 3, 6, 1, 0, 0, 7, 7, 3, 4, 5, 2, 0, 6, 7]",31.498554,135520.0,1
"[4, 1, 1, 0, 5, 5, 2, 2, 4, 3, 6, 2, 0, 6, 0, 1, 4, 0, 1, 7, 1, 4, 1, 2, 1, 1, 5, 3]",32.057196,51824.0,1
"[2, 7, 4, 3, 1, 1, 7, 5, 4, 4, 0, 3, 4, 0, 1, 0, 4, 6, 1, 7, 1, 2, 3, 4, 0, 0, 4, 3]",31.642629,252000.0,1
"[4, 7, 3, 0, 3, 1, 7, 7, 0, 3, 4, 3, 2, 4, 6, 4, 3, 2, 5, 7, 2, 6, 0, 6, 6, 4, 2, 2]",30.712527,49600.0,1
"[2, 7, 4, 3, 1, 1, 7, 5, 4, 7, 7, 3, 4, 0, 1, 0, 4, 6, 1, 7, 6, 2, 3, 4, 0, 0, 4, 3]",31.627729,167712.0,1
"[6, 0, 3, 7, 6, 6, 7, 0, 0, 5, 7, 3, 3, 6, 7, 5, 4, 1, 6, 6, 0, 4, 1, 4, 1, 7, 6, 6]",31.862977,935136.0,1
"[1, 0, 1, 6, 5, 0, 0, 2, 0, 4, 5, 1, 6, 2, 0, 4, 4, 3, 0, 6, 0, 2, 2, 7, 4, 1, 4, 2]",31.372037,161472.0,1
"[0, 1, 5, 5, 7, 1, 0, 0, 1, 4, 0, 1, 7, 4, 7, 1, 4, 7, 7, 7, 0, 0, 2, 2, 0, 6, 3, 6]",30.823787,69040.0,1
"[0, 6, 2, 7, 3, 2, 1, 0, 5, 3, 5, 0, 2, 4, 1, 7, 1, 1, 2, 7, 5, 7, 1, 1, 4, 4, 6, 4]",30.376942,65152.0,1
"[5, 6, 5, 7, 5, 1, 0, 3, 7, 1, 7, 3, 0, 6, 5, 1, 2, 2, 2, 3, 4, 0, 1, 0, 2, 1, 1, 4]",31.208089,271936.0,1
"[5, 2, 5, 5, 7, 4, 2, 0, 1, 5, 0, 0, 2, 2, 5, 2, 2, 6, 0, 2, 1, 6, 3, 0, 2, 1, 2, 7]",31.40865,231424.0,1
"[5, 3, 6, 5, 0, 0, 3, 2, 0, 3, 3, 1, 3, 7, 1, 4, 2, 0, 7, 5, 1, 3, 4, 6, 5, 0, 5, 2]",31.287119,221760.0,1
"[0, 7, 1, 5, 5, 1, 7, 6, 5, 7, 7, 2, 4, 1, 3, 4, 1, 2, 0, 6, 0, 4, 0, 2, 2, 3, 7, 6]",31.343823,109680.0,1
"[0, 2, 3, 5, 2, 0, 4, 1, 1, 6, 2, 5, 3, 4, 1, 2, 5, 0, 0, 4, 3, 1, 5, 7, 0, 7, 1, 0]",30.477833,75728.0,1
"[0, 3, 3, 5, 5, 0, 4, 1, 1, 6, 2, 5, 3, 7, 6, 7, 1, 5, 1, 5, 1, 2, 3, 5, 6, 4, 1, 5]",29.556721,73696.0,1
"[5, 1, 6, 5, 1, 4, 7, 5, 1, 1, 1, 0, 0, 6, 3, 0, 2, 6, 0, 3, 7, 4, 1, 4, 2, 2, 2, 3]",31.431069,335168.0,1
"[3, 7, 5, 6, 5, 1, 5, 6, 3, 5, 5, 0, 1, 3, 5, 3, 6, 0, 4, 2, 0, 3, 0, 2, 5, 6, 4, 7]",31.788952,1000864.0,1
"[0, 6, 4, 4, 6, 2, 6, 2, 7, 0, 6, 3, 2, 1, 4, 2, 5, 5, 2, 7, 5, 1, 0, 6, 3, 2, 2, 5]",31.052103,127808.0,1
