Net,PSNR,Params,Generation
"[4, 4, 2, 4, 6, 1, 5, 0, 4, 3, 2, 0, 4, 7, 1, 5, 4, 0, 0, 1, 3, 0, 2, 1, 1, 2, 5, 7]",31.858419,35744.0,1
"[4, 7, 6, 4, 3, 1, 0, 7, 2, 2, 4, 4, 5, 1, 2, 0, 0, 7, 4, 4, 7, 4, 5, 2, 0, 3, 1, 2]",30.965716,46400.0,1
"[2, 7, 0, 4, 1, 0, 3, 5, 6, 1, 6, 4, 1, 7, 0, 1, 6, 6, 4, 7, 1, 6, 1, 4, 1, 6, 0, 7]",31.711193,337392.0,1
"[0, 3, 0, 6, 0, 6, 4, 4, 0, 7, 1, 1, 1, 3, 1, 5, 2, 5, 0, 5, 4, 7, 7, 3, 2, 3, 5, 3]",30.422928,36144.0,1
"[0, 5, 4, 4, 1, 5, 7, 3, 3, 4, 6, 0, 6, 7, 4, 0, 0, 0, 7, 0, 6, 1, 7, 7, 3, 7, 1, 2]",30.68156,39984.0,1
"[0, 0, 0, 4, 2, 4, 2, 7, 4, 1, 1, 0, 0, 7, 1, 5, 7, 0, 5, 2, 2, 2, 1, 3, 5, 1, 0, 6]",31.182777,48816.0,1
"[2, 1, 0, 1, 6, 0, 0, 6, 0, 0, 4, 3, 0, 4, 1, 2, 6, 6, 5, 4, 4, 6, 3, 7, 1, 1, 5, 0]",31.663567,398592.0,1
"[3, 0, 3, 0, 1, 4, 5, 5, 2, 4, 2, 5, 0, 7, 0, 3, 6, 5, 1, 2, 1, 6, 0, 4, 4, 6, 2, 7]",31.185127,1069984.0,1
"[0, 6, 0, 4, 7, 5, 2, 4, 7, 2, 6, 7, 1, 6, 5, 1, 2, 6, 0, 3, 5, 6, 7, 7, 6, 7, 5, 5]",30.911995,48896.0,1
"[0, 1, 6, 7, 4, 0, 3, 0, 1, 0, 3, 7, 4, 7, 4, 1, 7, 3, 4, 6, 1, 7, 5, 4, 2, 0, 6, 1]",31.400843,69552.0,1
"[2, 2, 1, 0, 4, 2, 4, 1, 2, 5, 7, 2, 0, 0, 4, 1, 3, 3, 0, 7, 5, 2, 6, 4, 2, 6, 4, 4]",31.610632,273360.0,1
"[0, 2, 0, 1, 4, 2, 1, 0, 6, 2, 5, 5, 4, 0, 7, 6, 5, 4, 0, 5, 2, 4, 1, 7, 2, 4, 5, 0]",31.085716,120048.0,1
"[0, 2, 4, 7, 1, 0, 4, 4, 0, 7, 1, 1, 1, 3, 1, 0, 5, 7, 7, 3, 4, 5, 4, 0, 7, 3, 7, 5]",31.468801,147680.0,1
"[2, 1, 1, 1, 6, 0, 0, 6, 0, 0, 2, 7, 0, 7, 1, 2, 6, 6, 5, 4, 4, 6, 3, 7, 1, 1, 5, 0]",31.51287,535152.0,1
"[6, 5, 4, 5, 0, 1, 7, 5, 4, 2, 7, 1, 7, 6, 2, 3, 7, 1, 3, 7, 6, 4, 0, 0, 3, 7, 3, 0]",31.319129,377520.0,1
"[2, 3, 2, 6, 1, 2, 6, 2, 1, 5, 7, 1, 5, 1, 6, 0, 7, 4, 7, 7, 3, 4, 4, 5, 1, 4, 6, 7]",31.586607,471792.0,1
"[2, 1, 2, 2, 0, 1, 5, 1, 4, 1, 0, 2, 5, 3, 5, 1, 3, 1, 2, 5, 3, 6, 7, 3, 2, 0, 4, 6]",31.661705,1158144.0,1
"[4, 0, 2, 0, 0, 1, 0, 4, 0, 1, 5, 1, 1, 0, 1, 1, 0, 5, 4, 1, 2, 3, 0, 0, 2, 2, 4, 2]",30.666475,56848.0,1
"[4, 2, 7, 1, 6, 4, 3, 4, 2, 5, 4, 0, 1, 7, 4, 3, 0, 3, 1, 7, 3, 0, 4, 0, 5, 1, 4, 6]",31.603814,57008.0,1
"[0, 5, 4, 4, 1, 5, 7, 3, 3, 4, 6, 0, 6, 7, 4, 0, 3, 0, 6, 5, 6, 1, 7, 7, 3, 7, 1, 2]",30.343229,55264.0,1
"[4, 0, 1, 4, 6, 0, 5, 1, 2, 5, 0, 7, 7, 6, 1, 4, 3, 2, 4, 5, 5, 2, 7, 6, 5, 2, 6, 3]",31.064168,119072.0,1
"[0, 4, 7, 2, 6, 1, 7, 7, 2, 2, 3, 3, 3, 4, 4, 5, 6, 0, 3, 5, 7, 6, 0, 2, 0, 3, 0, 4]",31.210602,155136.0,1
"[4, 1, 3, 3, 2, 6, 1, 6, 5, 3, 3, 2, 3, 4, 5, 4, 3, 1, 7, 7, 5, 2, 0, 3, 1, 2, 2, 3]",31.076884,160784.0,1
"[3, 0, 3, 4, 6, 6, 3, 1, 2, 5, 6, 2, 0, 0, 4, 1, 3, 3, 0, 7, 5, 2, 6, 4, 2, 6, 4, 4]",31.62669,1152544.0,1
"[7, 7, 3, 0, 4, 2, 1, 1, 3, 0, 2, 4, 6, 5, 2, 5, 2, 7, 6, 7, 5, 1, 2, 7, 2, 0, 4, 7]",31.337604,1887968.0,1
"[4, 4, 6, 0, 3, 7, 5, 2, 1, 0, 7, 5, 4, 5, 6, 6, 6, 5, 5, 7, 6, 6, 4, 7, 3, 7, 4, 0]",30.600572,81904.0,1
"[0, 2, 0, 1, 3, 5, 5, 5, 0, 7, 7, 2, 3, 7, 4, 2, 7, 3, 0, 5, 2, 4, 1, 7, 2, 4, 5, 0]",30.724956,64304.0,1
