Net,PSNR,Params,Generation
"[4, 2, 0, 6, 2, 6, 0, 5, 5, 0, 2, 2, 0, 2, 5, 6, 2, 5, 0, 2, 4, 1, 2, 1, 6, 3, 1, 7]",31.145722,47472.0,1
"[0, 1, 0, 7, 1, 6, 3, 2, 0, 4, 1, 6, 7, 2, 7, 1, 1, 3, 1, 3, 4, 7, 3, 4, 1, 2, 5, 1]",31.340588,111472.0,1
"[4, 5, 0, 4, 0, 0, 1, 3, 5, 7, 6, 2, 0, 2, 4, 7, 2, 0, 0, 3, 4, 1, 1, 2, 1, 2, 4, 5]",30.774047,34928.0,1
"[7, 7, 7, 7, 1, 6, 3, 2, 0, 4, 0, 3, 5, 5, 3, 1, 0, 1, 5, 2, 5, 6, 0, 4, 0, 1, 1, 2]",32.256791,1956320.0,1
"[0, 7, 0, 2, 0, 3, 2, 1, 4, 2, 0, 0, 2, 1, 1, 1, 7, 5, 5, 6, 6, 3, 1, 5, 4, 7, 0, 6]",31.312047,74208.0,1
"[4, 4, 1, 3, 6, 4, 5, 1, 0, 6, 3, 3, 4, 7, 3, 6, 6, 2, 1, 4, 4, 4, 2, 7, 1, 5, 0, 1]",31.217412,58448.0,1
"[0, 6, 3, 4, 7, 5, 3, 0, 6, 1, 1, 6, 6, 2, 3, 2, 2, 0, 1, 6, 5, 1, 4, 6, 7, 0, 2, 2]",31.432501,111776.0,1
"[7, 2, 6, 3, 0, 5, 4, 7, 4, 1, 3, 3, 1, 7, 7, 0, 7, 5, 1, 1, 5, 6, 3, 2, 6, 6, 3, 1]",31.858142,1676832.0,1
"[4, 3, 4, 0, 0, 1, 1, 1, 6, 5, 0, 1, 4, 6, 1, 1, 5, 1, 5, 3, 4, 3, 2, 1, 4, 2, 4, 7]",30.821317,42448.0,1
"[4, 7, 4, 5, 4, 4, 1, 0, 5, 3, 1, 1, 0, 5, 0, 3, 2, 2, 1, 4, 1, 0, 1, 2, 2, 7, 5, 4]",30.870968,51536.0,1
"[5, 5, 0, 4, 3, 0, 6, 5, 4, 0, 7, 5, 6, 7, 0, 0, 0, 0, 0, 1, 5, 3, 4, 2, 7, 7, 4, 4]",30.71213,61856.0,1
"[0, 2, 3, 1, 4, 4, 0, 7, 0, 4, 3, 4, 2, 0, 7, 5, 6, 2, 0, 2, 4, 4, 4, 7, 2, 6, 2, 7]",30.823103,89200.0,1
"[0, 6, 3, 5, 2, 6, 3, 2, 5, 0, 0, 3, 0, 2, 2, 3, 4, 1, 7, 2, 3, 7, 2, 1, 6, 5, 3, 6]",30.745481,234272.0,1
"[5, 1, 7, 4, 0, 0, 4, 3, 4, 3, 5, 4, 3, 6, 4, 4, 7, 4, 1, 2, 3, 4, 1, 1, 7, 2, 0, 7]",31.234985,169696.0,1
"[7, 7, 7, 7, 1, 6, 3, 2, 0, 4, 1, 6, 7, 2, 7, 1, 1, 3, 1, 0, 6, 6, 7, 2, 2, 1, 1, 2]",31.452666,2053920.0,1
"[0, 1, 4, 1, 2, 6, 0, 7, 5, 1, 4, 4, 2, 0, 7, 5, 7, 3, 1, 0, 6, 4, 0, 0, 5, 5, 4, 1]",30.695572,44496.0,1
"[0, 4, 0, 7, 4, 5, 7, 6, 5, 2, 6, 5, 0, 0, 2, 3, 5, 6, 0, 5, 6, 1, 1, 0, 2, 3, 0, 2]",31.143918,84368.0,1
"[4, 4, 0, 2, 7, 6, 7, 0, 3, 1, 5, 0, 5, 3, 6, 7, 0, 3, 0, 7, 3, 1, 7, 1, 2, 5, 3, 3]",31.191434,177792.0,1
"[2, 2, 4, 3, 3, 0, 7, 4, 3, 1, 6, 5, 0, 7, 2, 1, 4, 6, 7, 3, 1, 1, 4, 1, 6, 1, 7, 1]",31.340896,346080.0,1
"[4, 2, 4, 7, 3, 4, 2, 5, 1, 6, 1, 1, 5, 0, 2, 0, 2, 1, 0, 0, 1, 2, 3, 5, 2, 1, 5, 7]",30.872697,57216.0,1
"[0, 5, 2, 1, 0, 5, 0, 3, 5, 1, 4, 4, 2, 4, 1, 5, 6, 6, 0, 4, 3, 1, 4, 2, 0, 4, 2, 5]",29.80441,50016.0,1
"[4, 4, 0, 5, 4, 0, 6, 4, 3, 7, 3, 4, 6, 1, 7, 0, 5, 6, 1, 2, 7, 3, 7, 2, 4, 2, 5, 0]",31.160971,102400.0,1
"[5, 6, 6, 2, 5, 5, 3, 4, 6, 4, 1, 0, 0, 4, 5, 3, 0, 2, 0, 0, 3, 0, 1, 2, 1, 6, 5, 6]",30.923545,329504.0,1
"[6, 6, 7, 3, 1, 6, 3, 1, 6, 7, 0, 2, 5, 5, 3, 1, 0, 1, 5, 2, 5, 6, 0, 4, 0, 5, 3, 4]",31.618473,1847184.0,1
"[1, 0, 3, 0, 3, 3, 7, 7, 7, 6, 2, 4, 0, 0, 7, 4, 3, 4, 2, 2, 5, 2, 0, 7, 2, 7, 7, 1]",30.631385,488288.0,1
"[6, 1, 4, 5, 0, 6, 0, 6, 0, 7, 5, 0, 6, 6, 6, 0, 6, 0, 0, 0, 7, 5, 3, 0, 5, 0, 5, 2]",31.312373,459984.0,1
"[5, 3, 6, 3, 7, 2, 4, 3, 5, 4, 0, 7, 1, 6, 6, 6, 7, 7, 0, 2, 4, 4, 0, 2, 1, 6, 0, 4]",30.945209,346912.0,1
"[7, 4, 0, 0, 2, 2, 0, 5, 5, 1, 2, 7, 0, 5, 0, 2, 2, 3, 3, 7, 5, 2, 7, 3, 3, 4, 7, 7]",30.695751,1366112.0,1
"[4, 0, 4, 0, 3, 4, 7, 4, 0, 0, 0, 6, 0, 5, 3, 1, 4, 0, 1, 6, 0, 4, 1, 1, 7, 3, 0, 4]",30.731992,75280.0,1
