Net,PSNR,Params,Generation
"[7, 4, 1, 1, 7, 3, 6, 2, 1, 0, 7, 4, 6, 4, 1, 4, 7, 5, 1, 7, 0, 1, 3, 4, 3, 2, 0, 7]",31.162136,93408.0,1
"[0, 2, 4, 7, 2, 0, 2, 0, 3, 5, 5, 4, 5, 4, 7, 4, 7, 4, 7, 5, 5, 4, 4, 7, 1, 5, 2, 0]",31.40854,54464.0,1
"[0, 2, 5, 2, 7, 6, 1, 0, 0, 3, 6, 4, 6, 7, 2, 0, 3, 5, 4, 6, 4, 0, 5, 5, 2, 7, 3, 3]",31.032148,30192.0,1
"[6, 7, 2, 5, 0, 0, 0, 6, 2, 0, 1, 5, 7, 3, 0, 2, 2, 4, 2, 4, 1, 2, 2, 4, 6, 2, 6, 1]",31.950629,294720.0,1
"[0, 6, 6, 1, 4, 1, 1, 0, 4, 1, 5, 2, 7, 3, 1, 4, 4, 4, 2, 0, 6, 1, 2, 7, 0, 3, 6, 3]",31.185446,127568.0,1
"[4, 5, 1, 1, 7, 0, 2, 6, 5, 0, 0, 6, 1, 0, 5, 5, 3, 7, 0, 5, 5, 1, 4, 0, 2, 1, 1, 1]",31.502251,62128.0,1
"[4, 5, 0, 6, 4, 3, 7, 3, 0, 2, 5, 5, 2, 0, 4, 2, 0, 6, 3, 3, 0, 1, 4, 0, 2, 1, 1, 1]",30.498891,59824.0,1
"[0, 1, 4, 7, 7, 2, 6, 6, 6, 6, 7, 6, 3, 7, 2, 4, 2, 0, 2, 1, 2, 2, 6, 0, 5, 7, 2, 6]",30.577484,43216.0,1
"[6, 7, 2, 5, 2, 2, 0, 6, 2, 0, 1, 5, 7, 3, 0, 2, 2, 4, 2, 4, 1, 2, 2, 4, 6, 2, 6, 1]",31.718901,350016.0,1
"[0, 1, 4, 7, 7, 2, 6, 6, 6, 6, 7, 6, 3, 7, 3, 5, 0, 3, 5, 1, 2, 2, 6, 0, 5, 7, 2, 6]",30.549429,67520.0,1
"[0, 1, 0, 0, 5, 1, 4, 1, 5, 3, 3, 3, 6, 6, 2, 6, 1, 4, 3, 7, 1, 5, 3, 6, 0, 2, 7, 4]",31.038976,94304.0,1
"[4, 2, 1, 4, 3, 2, 6, 0, 2, 5, 1, 6, 1, 7, 0, 4, 6, 6, 5, 6, 0, 2, 6, 6, 1, 2, 4, 3]",30.792775,77072.0,1
"[2, 7, 7, 2, 6, 1, 7, 1, 0, 7, 6, 1, 6, 4, 7, 2, 2, 5, 3, 7, 0, 3, 1, 4, 6, 6, 4, 4]",31.201572,268320.0,1
"[0, 3, 0, 5, 1, 3, 3, 3, 2, 4, 0, 0, 1, 7, 3, 1, 7, 3, 7, 3, 4, 0, 2, 5, 4, 4, 1, 5]",30.099393,63472.0,1
"[0, 1, 0, 4, 6, 7, 4, 1, 4, 1, 1, 1, 5, 6, 7, 0, 0, 3, 4, 4, 6, 1, 0, 4, 7, 4, 6, 0]",30.114036,48560.0,1
"[0, 1, 4, 7, 7, 2, 6, 1, 1, 2, 3, 4, 3, 7, 3, 5, 3, 3, 5, 1, 2, 2, 6, 0, 5, 7, 2, 6]",30.656254,56320.0,1
"[5, 4, 2, 5, 4, 1, 3, 4, 4, 2, 1, 2, 3, 5, 0, 4, 2, 1, 3, 7, 3, 0, 0, 0, 1, 1, 3, 7]",31.623894,363872.0,1
"[2, 0, 0, 2, 7, 0, 5, 6, 1, 2, 4, 4, 2, 6, 5, 6, 0, 4, 2, 2, 7, 2, 3, 0, 6, 1, 5, 0]",31.386941,519456.0,1
"[4, 5, 0, 6, 4, 3, 5, 6, 1, 7, 0, 0, 1, 2, 7, 2, 5, 4, 1, 2, 1, 1, 4, 0, 2, 1, 1, 1]",30.636303,67792.0,1
"[0, 3, 5, 4, 2, 6, 6, 1, 0, 0, 2, 6, 7, 7, 5, 6, 3, 7, 3, 2, 6, 6, 7, 3, 1, 3, 2, 0]",30.858671,125680.0,1
"[4, 6, 5, 5, 4, 1, 7, 6, 1, 2, 5, 0, 5, 0, 7, 1, 0, 5, 5, 1, 0, 6, 2, 3, 6, 7, 3, 0]",30.778084,86128.0,1
"[4, 5, 0, 1, 3, 4, 0, 6, 5, 4, 1, 1, 4, 0, 6, 7, 3, 0, 5, 2, 5, 4, 6, 5, 6, 5, 4, 7]",29.041393,49488.0,1
"[0, 2, 5, 4, 4, 5, 4, 6, 5, 6, 5, 4, 2, 7, 3, 2, 4, 7, 6, 2, 3, 5, 0, 6, 4, 3, 1, 0]",29.556234,52464.0,1
"[0, 7, 6, 3, 7, 7, 1, 5, 1, 1, 1, 1, 5, 2, 3, 4, 5, 5, 6, 4, 2, 2, 0, 4, 7, 2, 4, 6]",29.581213,50880.0,1
"[4, 6, 0, 1, 3, 4, 0, 6, 5, 4, 1, 1, 4, 0, 6, 7, 3, 0, 5, 3, 5, 4, 6, 6, 6, 5, 4, 7]",29.691488,60048.0,1
"[1, 3, 2, 6, 4, 4, 6, 1, 0, 0, 2, 6, 7, 0, 0, 7, 4, 3, 1, 3, 3, 3, 1, 2, 2, 2, 2, 4]",31.004116,501184.0,1
