Net,PSNR,Params,Generation
"[0, 2, 1, 3, 3, 6, 0, 6, 1, 7, 4, 1, 4, 2, 5, 4, 6, 0, 2, 6, 0, 5, 5, 0, 1, 7, 5, 4]",30.91995,33632.0,1
"[0, 2, 0, 5, 3, 2, 3, 3, 2, 5, 0, 3, 7, 1, 2, 0, 7, 7, 3, 4, 2, 4, 1, 0, 0, 0, 3, 4]",31.133547,111488.0,1
"[0, 4, 0, 6, 3, 2, 7, 1, 6, 6, 6, 0, 1, 0, 1, 3, 6, 7, 1, 4, 5, 2, 6, 1, 5, 6, 4, 2]",30.924348,89792.0,1
"[6, 4, 1, 4, 6, 0, 4, 6, 3, 0, 6, 5, 3, 1, 7, 7, 4, 4, 0, 6, 1, 5, 7, 4, 4, 3, 3, 3]",32.026562,1155456.0,1
"[4, 2, 4, 5, 6, 7, 7, 3, 5, 6, 1, 2, 2, 3, 5, 1, 7, 4, 0, 1, 1, 7, 0, 4, 3, 1, 1, 4]",31.332908,96592.0,1
"[3, 7, 2, 2, 3, 1, 1, 2, 2, 3, 6, 1, 7, 6, 1, 5, 7, 2, 0, 6, 3, 3, 0, 5, 2, 1, 2, 1]",31.575233,1832864.0,1
"[4, 1, 4, 4, 4, 2, 7, 0, 2, 2, 5, 2, 5, 3, 7, 0, 3, 1, 0, 5, 1, 0, 0, 4, 2, 6, 6, 1]",30.502769,86944.0,1
"[0, 2, 2, 3, 0, 1, 1, 4, 6, 7, 3, 1, 0, 3, 2, 0, 7, 5, 7, 1, 1, 6, 1, 3, 4, 4, 6, 7]",30.303221,66336.0,1
"[4, 7, 0, 7, 1, 4, 3, 0, 6, 1, 2, 7, 1, 4, 1, 5, 4, 3, 6, 0, 0, 6, 1, 5, 5, 5, 1, 7]",30.389271,72800.0,1
"[4, 7, 3, 0, 1, 1, 5, 1, 4, 2, 0, 4, 7, 1, 5, 0, 5, 0, 6, 2, 2, 4, 5, 7, 0, 5, 6, 5]",30.012516,76592.0,1
"[0, 2, 2, 4, 6, 0, 5, 7, 0, 2, 3, 0, 1, 1, 2, 2, 7, 0, 3, 6, 4, 4, 5, 3, 2, 5, 3, 6]",31.676345,192784.0,1
"[4, 3, 2, 4, 5, 1, 7, 7, 1, 5, 6, 5, 6, 3, 3, 3, 3, 7, 0, 7, 2, 4, 4, 1, 7, 7, 6, 3]",31.448731,102128.0,1
"[0, 4, 1, 6, 1, 2, 3, 5, 0, 0, 6, 3, 0, 5, 6, 5, 7, 4, 6, 5, 2, 3, 6, 7, 3, 7, 4, 2]",31.004057,178320.0,1
"[4, 0, 1, 1, 6, 1, 4, 4, 4, 7, 5, 1, 1, 3, 6, 2, 6, 1, 6, 3, 5, 5, 3, 6, 6, 1, 0, 2]",29.730256,72336.0,1
"[4, 1, 5, 0, 0, 6, 4, 0, 1, 3, 6, 4, 6, 2, 0, 5, 2, 4, 5, 0, 7, 2, 2, 4, 2, 6, 6, 1]",30.153404,73520.0,1
"[4, 7, 0, 0, 1, 4, 3, 0, 6, 1, 3, 4, 3, 5, 2, 2, 3, 0, 3, 7, 3, 1, 7, 4, 5, 5, 1, 7]",30.49691,82896.0,1
"[6, 0, 0, 5, 2, 3, 6, 1, 0, 6, 0, 0, 5, 4, 3, 1, 4, 2, 1, 3, 2, 3, 6, 5, 0, 1, 1, 4]",31.278706,650784.0,1
"[0, 3, 1, 0, 3, 7, 0, 1, 0, 5, 0, 7, 4, 7, 3, 1, 1, 6, 2, 0, 6, 1, 6, 1, 4, 6, 3, 6]",30.157327,102336.0,1
"[2, 0, 0, 0, 3, 1, 0, 5, 0, 6, 4, 6, 3, 2, 1, 4, 6, 4, 2, 7, 0, 1, 7, 3, 4, 6, 6, 4]",31.15637,158304.0,1
"[5, 1, 5, 3, 7, 1, 0, 3, 7, 1, 6, 4, 2, 0, 5, 6, 1, 0, 6, 7, 0, 7, 6, 7, 1, 3, 5, 6]",30.951447,304096.0,1
"[1, 2, 6, 6, 6, 3, 0, 5, 0, 2, 6, 1, 1, 2, 4, 0, 6, 3, 4, 1, 1, 0, 1, 5, 2, 6, 3, 4]",31.225018,301472.0,1
"[4, 7, 3, 2, 0, 6, 5, 0, 0, 3, 7, 4, 7, 0, 1, 7, 7, 4, 6, 0, 3, 6, 5, 3, 0, 1, 0, 0]",29.879679,90672.0,1
"[6, 1, 5, 0, 6, 1, 6, 0, 0, 6, 5, 2, 1, 5, 3, 3, 6, 6, 1, 0, 1, 6, 6, 0, 1, 3, 0, 0]",31.323029,1467792.0,1
"[6, 3, 5, 0, 2, 4, 7, 1, 4, 0, 4, 2, 6, 4, 6, 4, 0, 1, 1, 0, 5, 5, 0, 3, 3, 0, 3, 4]",31.412841,701424.0,1
"[4, 0, 3, 2, 0, 6, 5, 0, 0, 3, 7, 4, 7, 0, 1, 7, 7, 4, 1, 0, 3, 6, 5, 3, 0, 1, 0, 0]",30.4213,128352.0,1
"[4, 4, 3, 5, 2, 2, 2, 5, 2, 5, 2, 2, 0, 2, 7, 5, 1, 2, 3, 2, 1, 4, 6, 4, 7, 0, 2, 0]",30.061347,119072.0,1
"[4, 6, 4, 6, 1, 4, 0, 6, 7, 6, 2, 7, 1, 6, 2, 0, 3, 5, 1, 1, 2, 1, 5, 2, 1, 4, 4, 4]",30.738532,118736.0,1
"[0, 2, 4, 7, 5, 3, 7, 3, 3, 5, 6, 5, 0, 6, 0, 3, 4, 1, 0, 4, 6, 3, 4, 6, 6, 1, 0, 1]",30.803902,146672.0,1
"[1, 5, 2, 7, 5, 2, 5, 4, 1, 2, 7, 0, 5, 7, 1, 7, 0, 1, 2, 0, 5, 7, 4, 0, 0, 5, 4, 3]",30.420867,421760.0,1
"[6, 3, 7, 0, 6, 5, 7, 5, 1, 5, 4, 5, 3, 4, 3, 0, 0, 2, 7, 5, 1, 0, 5, 0, 0, 1, 4, 3]",30.784468,609888.0,1
"[4, 4, 3, 0, 1, 1, 4, 1, 2, 3, 3, 6, 2, 0, 6, 4, 5, 0, 6, 2, 2, 4, 5, 4, 0, 5, 6, 5]",28.774809,96336.0,1
"[4, 3, 1, 5, 0, 5, 1, 3, 6, 3, 0, 2, 1, 3, 6, 2, 6, 1, 6, 0, 5, 5, 3, 6, 6, 1, 0, 2]",30.155165,100960.0,1
"[3, 7, 5, 2, 3, 1, 1, 2, 2, 3, 6, 7, 6, 7, 4, 7, 3, 1, 3, 6, 0, 4, 7, 5, 2, 1, 2, 1]",31.592562,1451616.0,1
"[7, 4, 3, 7, 2, 3, 5, 5, 5, 4, 3, 5, 2, 4, 2, 1, 6, 6, 2, 1, 1, 6, 6, 0, 3, 5, 1, 3]",29.846183,1413984.0,1
"[6, 7, 3, 1, 0, 4, 6, 4, 2, 0, 4, 5, 1, 3, 3, 7, 7, 5, 0, 7, 7, 6, 6, 0, 4, 0, 2, 3]",30.621716,707664.0,1
"[4, 1, 1, 3, 7, 0, 7, 7, 4, 1, 5, 6, 0, 3, 1, 6, 1, 6, 5, 0, 0, 3, 6, 4, 6, 5, 7, 2]",29.757987,129184.0,1
"[5, 7, 5, 0, 7, 6, 3, 2, 4, 4, 0, 1, 4, 5, 5, 1, 0, 5, 2, 5, 5, 4, 5, 1, 5, 4, 7, 0]",30.775682,151232.0,1
"[4, 2, 6, 3, 6, 1, 2, 3, 3, 1, 1, 5, 5, 4, 5, 2, 1, 7, 6, 1, 2, 0, 6, 3, 7, 0, 3, 1]",30.320711,185408.0,1
"[4, 7, 6, 1, 3, 6, 6, 7, 6, 5, 5, 6, 3, 6, 2, 3, 3, 3, 6, 0, 4, 6, 0, 4, 6, 1, 6, 4]",30.876815,149680.0,1
"[2, 0, 0, 0, 3, 2, 2, 3, 7, 1, 6, 1, 3, 2, 1, 4, 6, 4, 2, 7, 0, 1, 7, 3, 4, 6, 6, 4]",30.804202,576432.0,1
"[2, 4, 6, 7, 3, 2, 6, 4, 4, 1, 6, 3, 5, 3, 7, 0, 7, 7, 5, 4, 4, 5, 0, 5, 7, 0, 0, 7]",30.828662,635136.0,1
"[0, 2, 1, 5, 4, 3, 7, 6, 6, 0, 1, 5, 7, 6, 0, 6, 2, 5, 4, 6, 7, 6, 6, 7, 6, 7, 3, 6]",29.643568,105392.0,1
"[0, 5, 5, 6, 5, 7, 1, 5, 4, 7, 5, 0, 4, 2, 2, 6, 1, 4, 7, 0, 4, 2, 1, 6, 0, 7, 3, 1]",30.026619,106480.0,1
"[6, 0, 1, 6, 6, 3, 0, 5, 0, 2, 2, 7, 5, 4, 3, 1, 4, 2, 1, 3, 2, 3, 6, 5, 0, 1, 1, 4]",30.662615,725328.0,1
"[6, 7, 3, 1, 7, 6, 4, 4, 2, 0, 4, 5, 1, 3, 3, 4, 7, 5, 0, 7, 7, 7, 7, 7, 0, 4, 7, 5]",30.48534,138336.0,1
"[5, 7, 5, 2, 6, 4, 5, 5, 3, 6, 2, 6, 7, 1, 4, 2, 5, 0, 6, 7, 2, 2, 2, 4, 1, 3, 3, 1]",30.369212,544832.0,1
"[7, 7, 4, 1, 7, 3, 2, 7, 3, 0, 0, 5, 5, 6, 5, 6, 0, 0, 4, 0, 1, 5, 4, 6, 3, 4, 4, 0]",30.82368,299040.0,1
"[6, 5, 5, 3, 3, 4, 3, 0, 1, 1, 7, 4, 6, 7, 0, 1, 7, 1, 3, 6, 4, 4, 4, 3, 2, 5, 0, 6]",30.841526,291600.0,1
"[4, 3, 3, 7, 2, 3, 6, 5, 5, 4, 3, 5, 2, 3, 6, 2, 6, 1, 6, 3, 5, 5, 3, 6, 6, 1, 0, 1]",30.389927,153280.0,1
